,Occupation,Age,Location,Income,lat,long
money-diary-northern-new-jersey-lead-user-experience-designer-salary,Lead User Experience Designer,27,Northern New Jersey,82400,40.08852665,-74.68458580402051
money-diary-holland-mi-administrative-assistant-salary,Administrative Assistant,23,"Holland, MI",66000,42.7876022,-86.1090828
money-diary-san-jose-ca-product-manager-salary,Product Manager,29,"San Jose, CA",112000,37.3361905,-121.890583
money-diary-anchorage-alaska-behavioral-health-counselor-salary,Behavioral Health Counselor,29,"Anchorage, Alaska",53000,61.2163129,-149.894852
money-diary-washington-dc-school-counselor-salary,School Counselor,27,"Washington, DC",56687,38.8949924,-77.0365581
money-diary-wisconsin-financial-planner-salary,Financial Planner,29,Wisconsin,114000,44.4308975,-89.6884637
money-diary-chicago-il-executive-recruiter-salary,Executive Recruiter,29,"Chicago, IL",35000,41.8755616,-87.6244212
money-diary-philadelphia-pa-graduate-assistant-salary,Graduate Assistant,25,"Philadelphia, PA",13500,39.9527237,-75.1635262
money-diary-connecticut-luxury-travel-manager-salary,Luxury Travel Manager,26,Connecticut,52000,41.6500201,-72.7342163
money-diary-new-york-digital-marketer-salary,Digital Marketer,22,New York,70000,40.7127281,-74.0060152
money-diary-tampa-medical-assistant-salary,Medical Assistant,23,Tampa,29000,27.9477595,-82.458444
money-diary-san-jose-ca-content-marketing-manager-salary,Content Marketing Manager,25,"San Jose, CA",0,37.3361905,-121.890583
money-diary-denver-co-land-use-planner-salary,Land Use Planner,39,"Denver, CO",63500,5.3428475,-72.3959849
money-diary-minneapolis-mn-recruiter-salary,Recruiter,27,"Minneapolis, MN",60000,44.9772995,-93.2654692
money-diary-dallas-tx-marketing-manager-salary,Marketing Manager,29,"Dallas, TX",81000,32.7762719,-96.7968559
money-diary-brooklyn-ny-copywriter-freelancer-salary,Copywriter,22,"Brooklyn, NY",55000,40.6501038,-73.9495823
money-diary-london-birmingham-hr-advisor-salary,HR Advisor,26,London/Birmingham,77837,52.4789814,-1.9030327
money-diary-oakland-ca-creative-freelancer-salary,"Multidisciplinary Freelancer. I work in the film industry, but my job changes depending on the day and scope of project. Sometimes I work as a production coordinator on national commercials. I got my start as a costume designer in independent film, and my bread and butter has recently been as a tailor and assistant stylist on commercial and editorial projects.",29,"Oakland, CA",1000,37.8044557,-122.2713563
money-diary-st-paul-minnesota-vice-president-student-affairs-salary,"Vice President, Student Affairs",39,"St. Paul, Minnesota",130000,44.9504037,-93.1015026
money-diary-fayetteville-ar-analyst-quality-control-coordiantor-salary,GIS Analyst & Quality Control Coordinator,25,"Fayetteville, AR",58614,36.0625843,-94.1574328
money-diary-somerville-ma-regulatory-affairs-manager-salary,Regulatory Affairs Manager,37,"Somerville, MA",90000,42.3875968,-71.0994968
money-diary-rockville-maryland-salary,Marketing Analyst,22,"Rockville, MD",55000,39.0840054,-77.1527573
money-diary-los-angeles-portfolio-coordinator-salary,Portfolio Coordinator,24,"Los Angeles, CA",0,34.0536909,-118.242766
money-diary-london-england-director-salary,Director,35,London,170000,51.5073219,-0.1276474
money-diary-paris-fragrance-evaluator-salary,Assistant Manager,24,Paris,80000,48.8566969,2.3514616
money-diary-brooklyn-new-york-corporate-innovation-manager-salary,Corporate Innovation Manager,30,"Brooklyn, NY",150000,40.6501038,-73.9495823
money-diary-barcelona-cmo-salary,CMO,34,Barcelona,59500,41.3828939,2.1774322
money-diary-new-york-city-film-distributor-salary,Film Distributor,26,"New York, NY",40000,40.7127281,-74.0060152
money-diary-baltimore-creative-director-salary,Creative Director,24,Baltimore,62000,39.2908816,-76.610759
money-diary-houston-tx-marketing-specialist-salary,Marketing Specialist,21,"Houston, TX",47000,29.7589382,-95.3676974
money-diary-berkeley-ca-technology-consultant-salary,Technology Consultant,24,"Berkeley, CA",92700,37.8708393,-122.2728639
money-diary-new-haven-ct-account-manager-salary,Account Manager,25,"New Haven, CT",50000,41.298434349999994,-72.93102342707913
money-diary-denver-co-account-manager-salary,Account Manager,28,"Denver, CO",57800,5.3428475,-72.3959849
money-diary-new-york-hr-manager-salary,HR Manager,29,"Brooklyn, NY",100000,40.6501038,-73.9495823
money-diary-san-diego-ca-senior-relationship-manager-salary,Senior Relationship Manager,29,"San Diego, CA",125000,32.7174202,-117.1627728
money-diary-new-york-ny-paralegal-manager-salary,Manager,26,"New York, NY",100000,40.7127281,-74.0060152
money-diary-chicago-il-public-affairs-specialist-salary,Public Affairs Specialist,23,"Chicago, IL",35000,41.8755616,-87.6244212
money-diary-boston-ma-research-assistant-salary,Research Assistant,23,"Boston, MA",35000,42.3602534,-71.0582912
money-diary-atlanta-ga-full-time-student-server-salary,Full-Time Student & Server,21,"Atlanta, GA",11000,33.7489924,-84.3902644
money-diary-new-york-ny-marketing-manager-salary,Marketing Manager,26,"New York, NY",132600,40.7127281,-74.0060152
money-diary-oakland-ca-project-manager-salary,Project Manager,28,"Oakland, CA",52500,37.8044557,-122.2713563
money-diary-nashville-graduate-program-administrative-assistant-salary,Graduate Program Administrative Assistant,28,"Nashville, TN",21000,36.1622296,-86.7743531
money-diary-long-island-city-ny-innovation-strategist-salary,Innovation Strategist,29,"Long Island City, NY",115000,40.7415095,-73.9569751
money-diary-chicago-il-rd-food-technician,R&D Food Technician,23,"Chicago, IL",30000,41.8755616,-87.6244212
money-diary-jacksonville-fl-copywriter-salary,Copywriter,25,"Jacksonville, FL",35000,30.3321838,-81.655651
money-diary-nevada-legal-sex-worker-salary,Legal Sex Worker,20,"Mound House, NV",511000,40.9293684,-114.9933784
money-diary-brooklyn-ny-copywriter-salary,Copywriter,26,"Brooklyn, NY",65000,40.6501038,-73.9495823
money-diary-roseville-ca-registered-nurse-salary,Registered Nurse,27,"Roseville, CA",61000,38.7521235,-121.2880059
money-diary-atlanta-ga-data-analyst-salary,Data Analyst,23,"Atlanta, GA",84000,33.7489924,-84.3902644
money-diary-new-york-city-associate-producer-salary,Associate Producer,29,"New York, NY",55000,40.7127281,-74.0060152
money-diary-los-angeles-marketing-analytics-manager-salary,Marketing Analytics Manager,25,"Los Angeles, CA",85000,34.0536909,-118.242766
money-diary-washington-dc-marketing-manager-salary,Marketing Manager,35,"Washington, D.C.",75000,36.29885175,-82.35919331410948
money-diary-brooklyn-ny-sales-director-salary,Sales Director,26,"Brooklyn, NY",95000,40.6501038,-73.9495823
money-diary-chicago-il-receptionist-salary,Receptionist,27,"Chicago, IL",38000,41.8755616,-87.6244212
money-diary-honolulu-hi-consultant-salary,Consultant,28,"Honolulu, HI",90000,21.304547,-157.8556764
money-diary-brooklyn-ny-dual-language-classroom-teacher-salary,Dual-language Classroom Teacher,30,"Brooklyn, NY",65000,40.6501038,-73.9495823
money-diary-san-jose-ca-content-manager-salary,Technical Writer,27,"San Jose, CA",93000,37.3361905,-121.890583
money-diary-miami-food-editor-salary,Food Editor,28,Miami,46000,25.7741728,-80.19362
money-diary-philadelphia-pa-attorney-salary,Attorney,34,"Philadelphia, PA",210000,39.9527237,-75.1635262
money-diary-santa-barbara-ca-architect-salary,Architect,26,"Santa Barbara, CA",129000,34.4221319,-119.7026673
money-diary-texas-vitreo-retinal-surgeon-salary,Vitreo-retinal Surgeon,40,Texas,360000,31.8160381,-99.5120986
money-diary-new-york-ny-specialist-salary,Specialist,23,"New York, NY",62000,40.7127281,-74.0060152
money-diary-los-angeles-executive-director-salary,Executive Director,34,Los Angeles,1250,34.0536909,-118.242766
money-diary-philadelphia-senior-program-manager-salary,Senior Program Manager,34,Philadelphia,106000,39.9527237,-75.1635262
money-diary-new-york-ny-writer-salary,Writer,24,"New York, NY",32000,40.7127281,-74.0060152
money-diary-upstate-new-york-cosmetologist-salary,Cosmetologist,19,Upstate New York,32520,40.7263224,-73.9864498
money-diary-salt-lake-city-auditor-salary,Auditor,23,Salt Lake City,50000,40.7596198,-111.8867975
money-diary-new-york-ny-analyst-budget-1491242753021,Analyst,23,"New York, NY",90000,40.7127281,-74.0060152
money-diary-berkeley-ca-hostess-au-pair-salary,Hostess and au pair,22,"Berkeley, CA",18000,37.8708393,-122.2728639
money-diary-homer-alaska-institutional-strategist-budget,Institutional Strategist,31,"Homer, Alaska",89489,59.6440876,-151.5401477
money-diary-brooklyn-ny-executive-assistant-budget,Executive Assistant,25,"New York, NY",60000,40.7127281,-74.0060152
money-diary-charleston-sc-librarian-faculty-budget,Librarian Faculty,29,"Charleston, SC",48000,32.7876012,-79.9402728
money-diary-miami-fl-attorney-budget,Attorney,32,"Miami, FL",138000,25.7741728,-80.19362
money-diary-flushing-queens-new-york-student-pr-intern-budget,Student and PR Intern,22,"Flushing, Queens, New York",0,40.7654301,-73.8174291
money-diary-los-angeles-biomedical-research-analyst-budget,Biomedical Research Analyst,22,Los Angeles,56000,34.0536909,-118.242766
money-diary-berlin-social-media-marketing-manager-budget,Social media and marketing manager,24,Berlin,42639,52.5170365,13.3888599
money-diary-nyc-financial-coordinator-budget,Financial Coordinator,27,NYC,43000,40.7127281,-74.0060152
money-diary-austin-texas-editor-budget,Editor,30,"Austin, TX",35000,30.2711286,-97.7436995
money-diary-new-york-ny-vice-president-budget,Vice President,27,"New York, NY",230000,40.7127281,-74.0060152
money-diary-santa-fe-new-mexico-geophysicist-budget,Geophysicist,27,"Santa Fe, New Mexico",57720,35.6869996,-105.9377997
money-diary-lower-east-side-content-editor-budget,Content Editor,22,"Lower East Side, NYC",50000,40.7159357,-73.9868057
money-diary-dallas-tx-web-analyst-budget,Web Analyst,24,"Dallas, TX",68000,32.7762719,-96.7968559
money-diary-brooklyn-production-assistant-budget,Production Assistant,24,"Brooklyn, NY",34000,40.6501038,-73.9495823
money-diary-chicago-digital-marketing-manager-budget,Digital Marketing,26,Chicago,40000,41.8755616,-87.6244212
money-diary-los-angeles-copywriter-budget,Fashion,28,"Los Angeles, CA",52000,34.0536909,-118.242766
money-diary-san-francisco-events-manager-budget,Tech,27,"San Francisco, CA",60000,37.7790262,-122.4199061
money-diary-new-york-ny-art-collection-manager-budget,Art,31,"New York, NY",85000,40.7127281,-74.0060152
money-diary-juneau-alaska-administration-officer-server-budget,"Government, plus a side job at a restaurant",33,"Juneau, Alaska",63000,58.3019496,-134.419734
money-diary-brooklyn-researcher-budget,Public Health,34,"Brooklyn, NY",55000,40.6501038,-73.9495823
money-diary-plano-texas-customer-specialist-budget,Customer Success Specialist,26,"Plano, TX",40000,33.0136764,-96.6925096
money-diary-nyc-accountant-budget,Finance,27,NYC,82500,40.7127281,-74.0060152
money-diary-events-coordinator-paris-budget,"Events, Partnerships and Promotion Coordinator",21,"Paris, France",25668,48.8566969,2.3514616
money-diary-brooklyn-publicity-associate-budge,Publicity & Events Associate,24,Brooklyn,39500,40.6501038,-73.9495823
money-diary-non-profit-attorney-colorado-budget,Non-profit,26,Colorado,0,38.7251776,-105.607716
money-diary-brooklyn-research-analyst-budget,Advertising,25,"Brooklyn, NY",50000,40.6501038,-73.9495823
money-diary-washington-dc-womens-march-budget,Government Contracting/Human Services,31,"Washington, D.C.",74000,36.29885175,-82.35919331410948
money-diary-nyc-hr-budget,Technology,25,"New York, NY",75000,40.7127281,-74.0060152
money-diary-tech-business-function-budget,Business function at a major tech company,32,Manhattan,127000,40.7896239,-73.9598939
money-diary-biotechnology-seattle-budget,"Biotechnology. I work full-time as executive assistant and marketer, and I maintain a small freelance business with a select clientele of executives and business owners. In addition, I’m starting to save next month to go back to school to finish my degree, and I’m launching a comedy/food podcast — so I have a lot going on.",25,"Seattle, WA",60000,47.6038321,-122.3300624
money-diary-copenhagen-copywriter-budget,Copywriter at a digital media agency,26,"Copenhagen, Denmark",46000,55.6867243,12.5700724
money-diary-new-jersey-unemployment-budget,Pharmaceutical,26,"West Windsor, NJ",0,40.2423319,-74.5812664
money-diary-performing-arts-budget,Performing arts/media,30,NYC,50000,40.7127281,-74.0060152
money-diary-san-francisco-biotech-budget,"Biotechnology, data analytics, and strategy. I am extremely lucky to work for a company that has great perks (transportation, subsidized food, cell phone, and a gym — although I don’t use it), not to mention good health care and benefits. My monthly spending would undoubtedly be significantly higher if I switched jobs. It also helps that my office is a big campus/office-park setting where there isn’t a lot of temptation to spend money on lunch.",26,San Francisco,115000,37.7790262,-122.4199061
money-diary-philadelphia-academic-assistant-budget,Academic library assistant and impending graduate student,22,Philadelphia,28000,39.9527237,-75.1635262
money-diary-chicago-higher-education-budget,"Higher Education. I work at a prestigious university’s business school as an Academic Events Coordinator, full time. It’s only pretty recently that I’ve felt secure in my career and we’ve started to own nicer things, like decent furniture! My husband and I met teaching English in South Korea in 2010, and spent a year after that living in Australia working low-skill jobs due to the circumstances. This delayed getting on the career ladder right after college, although I graduated in 2009 so there was not much available (especially in a Media and Communications degree).",29,"Lakeview, Chicago",42000,42.3240635,-87.8332689
money-diary-houston-engineer,Oil & Gas,28,"Houston, TX",108000,29.7589382,-95.3676974
money-diary-interior-designer-new-york-city,Interior Design,24,Manhattan,50000,40.7896239,-73.9598939
money-diary-san-francisco-cam-girl-budget,"Webcam modeling. Mostly on MyFreeCams, but I also sell picture sets, custom videos, and sometimes get gifts through Amazon WishLists, but nothing too crazy. Some girls get designer bags and stuff, but I put stuff like books on mine.",23,"San Francisco, CA",0,37.7790262,-122.4199061
money-diary-bay-area-teacher-mother,"Education and floral. I'm in school to eventually become a guidance counselor, and recently got a long-term sub gig. On the side, I do freelance floral work for a group of pretty loyal clients.",24,San Mateo County,0,37.496904,-122.3330573
money-diary-freelancer-budget-new-york-city,"Marketing, freelance. I'm experiencing a post-grad school existential crisis and buying time trying to figure out what to do with my career.",29,"Williamsburg, Brooklyn",30000,40.714622,-73.95345
money-diary-boston-social-media-manager,Women’s Health Tech,27,"Boston, MA",44000,42.3602534,-71.0582912
money-diary-milawukee-salary,Technology,30,"Milwaukee, WI",46000,43.0349931,-87.922497
money-diary-music-journalist-sydney-australia,Music/Media,26,"Sydney, Australia",47625,-33.8548157,151.2164539
money-diary-cpa-finance-budget,CPA,29,New York City,130000,40.7127281,-74.0060152
money-diary-singapore-finance,Finance,29,Singapore,117850,1.357107,103.8194992
money-diary-iowa-city-budget,Social Work,28,"Iowa City, IA",46000,41.6612561,-91.5299106
money-diary-new-york-teacher-mother,Teacher,31,"Saratoga County, NY",75000,43.0833231,-73.8712155
money-diary-austin-budget,Tech,26,"Austin, TX",52500,30.2711286,-97.7436995
money-diary-portland-budget,Advertising,26,"Portland, OR",60000,45.5202471,-122.6741949
money-diary-fashion-editor-new-york-city-budget,Fashion,25,"Manhattan, New York City",65000,40.739314199999995,-74.00083230730516
money-diary-new-york-city-budget-valentines-day,Media,28,"Astoria, Queens",43000,40.7720145,-73.9302673
money-diary-photo-director-new-york-city-budget,Media,28,"Williamsburg, Brooklyn",40000,40.714622,-73.95345
money-diary-product-manager-new-york-city-budget,Media,27,New York City,120000,40.7127281,-74.0060152
